player_id,player_name,archetype,metric,value_pre,value_post,raw_lift_pct,cohort_mean_lift_pct,abnormal_lift_pct,archetype_mean_lift_pct,abnormal_vs_archetype_pct,source_quality,structural_note,excluded,excluded_reason
russell_wilson_2015,Russell Wilson,QB,attendance_y1,68338.0,68338.0,0.0,0.09,-0.09,0.0,0.0,estimated_capacity,capacity_saturated_use_price,False,
russell_wilson_2015,Russell Wilson,QB,attendance_y2,68338.0,68338.0,0.0,0.37,-0.37,0.0,0.0,estimated_capacity,capacity_saturated_use_price,False,
russell_wilson_2015,Russell Wilson,QB,search_interest,16.9,21.8,28.99,72.72,-43.73,69.16,-40.17,pytrends,primary_roi_signal,False,
russell_wilson_2019,Russell Wilson,QB,attendance_y1,68338.0,68338.0,0.0,0.09,-0.09,0.0,0.0,estimated_capacity,capacity_saturated_use_price,False,
russell_wilson_2019,Russell Wilson,QB,attendance_y2,68338.0,0.0,,,,,,covid_void,capacity_saturated_use_price,True,covid
russell_wilson_2019,Russell Wilson,QB,search_interest,3.8,5.6,47.37,72.72,-25.35,69.16,-21.79,pytrends,primary_roi_signal,False,
russell_wilson_2022,Russell Wilson (Departure),QB,attendance_y1,68408.0,68338.0,-0.1,0.09,-0.19,0.0,-0.1,estimated_capacity,capacity_saturated_use_price,False,
russell_wilson_2022,Russell Wilson (Departure),QB,attendance_y2,68408.0,68338.0,-0.1,0.37,-0.47,0.0,-0.1,estimated_capacity,capacity_saturated_use_price,False,
russell_wilson_2022,Russell Wilson (Departure),QB,search_interest,2.1,4.3,104.76,72.72,32.04,69.16,35.6,pytrends,primary_roi_signal,False,
geno_smith_2023,Geno Smith,QB,attendance_y1,68338.0,68338.0,0.0,0.09,-0.09,0.0,0.0,estimated_capacity,capacity_saturated_use_price,False,
geno_smith_2023,Geno Smith,QB,attendance_y2,68338.0,68338.0,0.0,0.37,-0.37,0.0,0.0,estimated_capacity,capacity_saturated_use_price,False,
geno_smith_2023,Geno Smith,QB,search_interest,8.4,1.5,-82.14,72.72,-154.86,69.16,-151.3,pytrends,primary_roi_signal,False,
dk_metcalf_2022,DK Metcalf,Skill,attendance_y1,68408.0,68338.0,-0.1,0.09,-0.19,0.17,-0.27,estimated_capacity,capacity_saturated_use_price,False,
dk_metcalf_2022,DK Metcalf,Skill,attendance_y2,68408.0,68338.0,-0.1,0.37,-0.47,0.99,-1.09,estimated_capacity,capacity_saturated_use_price,False,
dk_metcalf_2022,DK Metcalf,Skill,search_interest,11.4,18.4,61.4,72.72,-11.32,76.28,-14.88,pytrends,primary_roi_signal,False,
davante_adams_2022,Davante Adams,Skill,attendance_y1,61185.0,61500.0,0.51,0.09,0.42,0.17,0.34,estimated,non_saturated_valid_signal,False,
davante_adams_2022,Davante Adams,Skill,attendance_y2,61185.0,62000.0,1.33,0.37,0.96,0.99,0.34,estimated,non_saturated_valid_signal,False,
davante_adams_2022,Davante Adams,Skill,search_interest,2.3,3.3,43.48,72.72,-29.24,76.28,-32.8,pytrends,primary_roi_signal,False,
tyreek_hill_2022,Tyreek Hill,Skill,attendance_y1,64374.0,65000.0,0.97,0.09,0.88,0.17,0.8,estimated,non_saturated_valid_signal,False,
tyreek_hill_2022,Tyreek Hill,Skill,attendance_y2,64374.0,65500.0,1.75,0.37,1.38,0.99,0.76,estimated,non_saturated_valid_signal,False,
tyreek_hill_2022,Tyreek Hill,Skill,search_interest,2.1,3.1,47.62,72.72,-25.1,76.28,-28.66,pytrends,primary_roi_signal,False,
odell_beckham_2021,Odell Beckham Jr.,Skill,attendance_y1,0.0,71598.0,,,,,,covid_void,non_saturated_valid_signal,True,covid
odell_beckham_2021,Odell Beckham Jr.,Skill,attendance_y2,0.0,70000.0,,,,,,covid_void,non_saturated_valid_signal,True,covid
odell_beckham_2021,Odell Beckham Jr.,Skill,search_interest,8.5,6.6,-22.35,72.72,-95.07,76.28,-98.63,pytrends,primary_roi_signal,False,
patrick_mahomes_2020,Patrick Mahomes,QB,attendance_y1,73227.0,14000.0,,,,,,covid_limited,capacity_saturated_use_price,True,covid
patrick_mahomes_2020,Patrick Mahomes,QB,attendance_y2,73227.0,73227.0,0.0,0.37,-0.37,0.0,0.0,estimated,capacity_saturated_use_price,False,
patrick_mahomes_2020,Patrick Mahomes,QB,search_interest,2.5,9.9,296.0,72.72,223.28,69.16,226.84,pytrends,primary_roi_signal,False,
deshaun_watson_2022,Deshaun Watson,QB,attendance_y1,67431.0,67500.0,0.1,0.09,0.01,0.0,0.1,estimated,non_saturated_valid_signal,False,
deshaun_watson_2022,Deshaun Watson,QB,attendance_y2,67431.0,67500.0,0.1,0.37,-0.27,0.0,0.1,estimated,non_saturated_valid_signal,False,
deshaun_watson_2022,Deshaun Watson,QB,search_interest,4.0,4.8,20.0,72.72,-52.72,69.16,-49.16,pytrends,primary_roi_signal,False,
justin_jefferson_2024,Justin Jefferson,Skill,attendance_y1,66701.0,66800.0,0.15,0.09,0.06,0.17,-0.02,estimated,non_saturated_valid_signal,False,
justin_jefferson_2024,Justin Jefferson,Skill,attendance_y2,66701.0,,,,,,,na,non_saturated_valid_signal,True,no_data
justin_jefferson_2024,Justin Jefferson,Skill,search_interest,10.8,16.2,50.0,72.72,-22.72,76.28,-26.28,pytrends,primary_roi_signal,False,
ceedee_lamb_2024,CeeDee Lamb,Skill,attendance_y1,93594.0,92972.0,-0.66,0.09,-0.75,0.17,-0.83,espn_confirmed,capacity_saturated_use_price,False,
ceedee_lamb_2024,CeeDee Lamb,Skill,attendance_y2,93594.0,,,,,,,na,capacity_saturated_use_price,True,no_data
ceedee_lamb_2024,CeeDee Lamb,Skill,search_interest,4.9,18.5,277.55,72.72,204.83,76.28,201.27,pytrends,primary_roi_signal,False,
