player_id,player_name,signing_date,team,attendance_team,position,archetype,search_term,contract_years,total_value_usd,aav_usd,guaranteed_usd,otc_url,contract_source,season_pre,avg_attendance_pre,src_pre,covid_pre,season_post_1,avg_attendance_post_1,src_post_1,covid_post_1,season_post_2,avg_attendance_post_2,src_post_2,covid_post_2,covid_affected,window_weeks,avg_interest_pre,avg_interest_post,peak_interest,peak_date,interest_lift_pct,trends_source,price_pre_30d,price_post_30d,price_post_season1,pct_change_30d,price_src_pre,price_src_post,price_src_season1,price_covid_affected,price_data_confidence,seatgeek_source
russell_wilson_2015,Russell Wilson,2015-07-31,Seattle Seahawks,Seattle Seahawks,QB,QB,Russell Wilson,4,87600000,21900000,60000000,,manual,2014,68338,estimated_capacity,False,2015,68338,estimated_capacity,False,2016,68338.0,estimated_capacity,False,False,12,16.9,21.8,100,2015-07-07,28.7,pytrends,415.0,436.0,436.0,5.1,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,low,manual
russell_wilson_2019,Russell Wilson,2019-04-15,Seattle Seahawks,Seattle Seahawks,QB,QB,Russell Wilson,4,140000000,35000000,107000000,,manual,2018,68338,estimated_capacity,False,2019,68338,estimated_capacity,False,2020,0.0,covid_void,True,True,12,3.8,5.6,100,2019-04-16,45.0,pytrends,320.0,300.0,295.0,-6.2,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,medium,manual
russell_wilson_2022,Russell Wilson (Departure),2022-03-08,Denver Broncos,Seattle Seahawks,QB,QB,Russell Wilson,5,245000000,49000000,165000000,,manual,2021,68408,espn_confirmed,False,2022,68338,estimated_capacity,False,2023,68338.0,estimated_capacity,False,False,12,2.1,4.3,100,2022-03-08,102.6,pytrends,280.0,250.0,245.0,-10.7,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
geno_smith_2023,Geno Smith,2023-03-09,Seattle Seahawks,Seattle Seahawks,QB,QB,Geno Smith,3,105000000,35000000,40000000,,manual,2022,68338,estimated_capacity,False,2023,68338,estimated_capacity,False,2024,68338.0,estimated_capacity,False,False,12,8.4,1.5,100,2023-01-14,-82.1,pytrends,250.0,255.0,240.0,2.0,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
dk_metcalf_2022,DK Metcalf,2022-09-01,Seattle Seahawks,Seattle Seahawks,WR,Skill,DK Metcalf,3,72000000,24000000,58000000,,manual,2021,68408,espn_confirmed,False,2022,68338,estimated_capacity,False,2023,68338.0,estimated_capacity,False,False,12,11.4,18.4,100,2022-10-24,61.8,pytrends,280.0,255.0,250.0,-8.9,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
davante_adams_2022,Davante Adams,2022-03-17,Las Vegas Raiders,Las Vegas Raiders,WR,Skill,Davante Adams,5,141250000,28250000,67500000,,manual,2021,61185,espn_confirmed,False,2022,61500,estimated,False,2023,62000.0,estimated,False,False,12,2.3,3.3,100,2022-03-18,41.1,pytrends,510.0,620.0,675.0,21.6,annual_avg_proxy,industry_coverage,industry_coverage,False,high,manual
tyreek_hill_2022,Tyreek Hill,2022-03-17,Miami Dolphins,Miami Dolphins,WR,Skill,Tyreek Hill,4,120000000,30000000,72000000,,manual,2021,64374,espn_confirmed,False,2022,65000,estimated,False,2023,65500.0,estimated,False,False,12,2.1,3.1,100,2022-03-23,42.7,pytrends,170.0,200.0,195.0,17.6,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
odell_beckham_2021,Odell Beckham Jr.,2021-11-11,Los Angeles Rams,Los Angeles Rams,WR,Skill,Odell Beckham,1,4250000,4250000,4250000,,manual,2020,0,covid_void,True,2021,71598,espn_confirmed,False,2022,70000.0,estimated,False,True,12,8.5,6.6,100,2021-11-11,-22.7,pytrends,,290.0,280.0,,covid_distorted,annual_avg_proxy,annual_avg_proxy,False,medium,manual
patrick_mahomes_2020,Patrick Mahomes,2020-07-06,Kansas City Chiefs,Kansas City Chiefs,QB,QB,Patrick Mahomes,10,450000000,45000000,141000000,,manual,2019,73227,estimated,False,2020,14000,covid_limited,True,2021,73227.0,espn_confirmed,False,True,12,2.5,9.9,100,2020-07-07,292.5,pytrends,,,,,covid_distorted,covid_distorted,covid_distorted,True,medium,manual
deshaun_watson_2022,Deshaun Watson,2022-03-18,Cleveland Browns,Cleveland Browns,QB,QB,Deshaun Watson,5,230000000,46000000,230000000,,manual,2021,67431,espn_confirmed,False,2022,67500,estimated,False,2023,67500.0,estimated,False,False,12,4.0,4.8,100,2022-03-18,21.7,pytrends,165.0,185.0,155.0,12.1,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
justin_jefferson_2024,Justin Jefferson,2024-09-12,Minnesota Vikings,Minnesota Vikings,WR,Skill,Justin Jefferson,4,140000000,35000000,110000000,,manual,2023,66701,estimated,False,2024,66800,estimated,False,2025,,na,False,False,12,10.8,16.2,100,2024-09-15,49.9,pytrends,220.0,250.0,245.0,13.6,annual_avg_proxy,annual_avg_proxy,annual_avg_proxy,False,high,manual
ceedee_lamb_2024,CeeDee Lamb,2024-08-01,Dallas Cowboys,Dallas Cowboys,WR,Skill,CeeDee Lamb,4,136000000,34000000,100000000,,manual,2023,93594,espn_confirmed,False,2024,92972,espn_confirmed,False,2025,,na,False,False,12,4.9,18.5,100,2024-08-26,276.4,pytrends,690.0,720.0,700.0,4.3,industry_coverage,annual_avg_proxy,annual_avg_proxy,False,high,manual
