player_id,search_term,signing_date,window_weeks,avg_interest_pre,avg_interest_post,peak_interest,peak_date,interest_lift_pct,data_source
russell_wilson_2015,Russell Wilson,2015-07-31,12,16.9,21.8,100,2015-07-07,28.7,pytrends
russell_wilson_2019,Russell Wilson,2019-04-15,12,3.8,5.6,100,2019-04-16,45.0,pytrends
russell_wilson_2022,Russell Wilson,2022-03-08,12,2.1,4.3,100,2022-03-08,102.6,pytrends
geno_smith_2023,Geno Smith,2023-03-09,12,8.4,1.5,100,2023-01-14,-82.1,pytrends
dk_metcalf_2022,DK Metcalf,2022-09-01,12,11.4,18.4,100,2022-10-24,61.8,pytrends
davante_adams_2022,Davante Adams,2022-03-17,12,2.3,3.3,100,2022-03-18,41.1,pytrends
tyreek_hill_2022,Tyreek Hill,2022-03-17,12,2.1,3.1,100,2022-03-23,42.7,pytrends
odell_beckham_2021,Odell Beckham,2021-11-11,12,8.5,6.6,100,2021-11-11,-22.7,pytrends
patrick_mahomes_2020,Patrick Mahomes,2020-07-06,12,2.5,9.9,100,2020-07-07,292.5,pytrends
deshaun_watson_2022,Deshaun Watson,2022-03-18,12,4.0,4.8,100,2022-03-18,21.7,pytrends
justin_jefferson_2024,Justin Jefferson,2024-09-12,12,10.8,16.2,100,2024-09-15,49.9,pytrends
ceedee_lamb_2024,CeeDee Lamb,2024-08-01,12,4.9,18.5,100,2024-08-26,276.4,pytrends
